Price Dates,Bhindi (Ladies finger),Tomato,Onion,Potato,Brinjal,Garlic,Peas,Methi,Green Chilli,Elephant Yam (Suran)
2023-11-23,32.5,16.0,40.0,20,25,190,42,10,30.0,40
2023-11-24,30.0,16.0,40.0,20,30,190,40,8,30.0,40
2023-11-26,32.0,16.0,36.0,22,20,230,40,8,30.0,40
2023-11-27,32.0,16.0,37.0,18,25,270,35,8,25.0,25
2023-11-28,30.0,16.0,40.0,18,25,270,35,10,30.0,30
2023-11-29,32.0,16.0,46.0,18,25,270,32,8,30.0,25
2023-11-30,30.0,16.0,50.0,22,25,270,40,7,35.0,30
2023-12-04,37.5,16.0,47.0,18,20,270,40,8,30.0,25
2023-12-05,37.0,16.0,46.0,17,20,270,40,8,25.0,35
2023-12-06,37.0,16.0,47.0,20,30,290,40,7,30.0,40
2023-12-07,37.0,16.0,48.0,18,20,270,40,8,35.0,25
2023-12-08,42.5,16.0,46.0,18,40,270,50,10,30.0,25
2023-12-10,42.5,16.0,48.0,18,35,270,50,10,30.0,25
2023-12-12,50.0,16.0,42.0,22,50,270,40,13,35.0,40
2023-12-13,50.0,16.0,40.0,18,45,270,40,12,35.0,40
2023-12-15,47.5,16.0,38.0,22,50,270,35,15,30.0,30
2023-12-18,50.0,16.0,30.0,22,60,270,35,25,35.0,25
2023-12-19,45.0,16.0,30.0,22,50,270,30,23,50.0,35
2023-12-20,45.0,16.0,26.0,22,60,270,35,22,30.0,40
2023-12-24,47.5,16.0,30.0,22,60,270,35,18,30.0,25
2023-12-31,45.0,16.0,26.0,20,60,250,40,16,50.0,40
2024-01-01,45.0,16.0,9.0,18,50,260,40,15,60.0,25
